name,block,is_mlp,mean_rel_err,mode
vit.encoder.layer.8.attention.attention.value,8,False,0.12138085299803203,rovit
vit.encoder.layer.8.attention.attention.query,8,False,0.12138085299803203,rovit
vit.encoder.layer.8.attention.output.dense,8,False,0.08542266316880379,rovit
vit.encoder.layer.8.intermediate.dense,8,True,0.03646868438003094,rovit
vit.encoder.layer.8.output.dense,8,True,0.05750243935228546,rovit
vit.encoder.layer.9.attention.attention.key,9,False,0.09389334704339966,rovit
vit.encoder.layer.9.attention.attention.value,9,False,0.09389334704339966,rovit
vit.encoder.layer.9.attention.attention.query,9,False,0.09389334704339966,rovit
vit.encoder.layer.9.attention.output.dense,9,False,0.09280109794553884,rovit
vit.encoder.layer.9.intermediate.dense,9,True,0.03654622970877265,rovit
vit.encoder.layer.9.output.dense,9,True,0.06216577198638858,rovit
vit.encoder.layer.10.attention.attention.key,10,False,0.08381085373199443,rovit
vit.encoder.layer.10.attention.attention.value,10,False,0.08381085373199443,rovit
vit.encoder.layer.10.attention.attention.query,10,False,0.08381085373199443,rovit
vit.encoder.layer.10.attention.output.dense,10,False,0.08786837696413372,rovit
vit.encoder.layer.10.intermediate.dense,10,True,0.03488780950204806,rovit
vit.encoder.layer.10.output.dense,10,True,0.05901143508874605,rovit
vit.encoder.layer.11.attention.attention.key,11,False,0.07456882135483167,rovit
vit.encoder.layer.11.attention.attention.value,11,False,0.07456882135483167,rovit
vit.encoder.layer.11.attention.attention.query,11,False,0.07456882135483167,rovit
vit.encoder.layer.11.attention.output.dense,11,False,0.061318598817128735,rovit
vit.encoder.layer.11.intermediate.dense,11,True,0.032074913327981916,rovit
vit.encoder.layer.11.output.dense,11,True,0.04354220845857355,rovit
